image_id,lesion_id,cluster_id,split
ISIC_0000035_downsampled,,cluster:1ec0a6356cb8a8cf0c17,val
ISIC_0000036_downsampled,,cluster:73671f231796ce7386da,train
ISIC_0000037_downsampled,,cluster:68db2f9ab0b71eb2647e,train
ISIC_0000038_downsampled,,cluster:d64e17cc979dcecacd22,train
ISIC_0000039_downsampled,,cluster:471663743e7d34f006b7,train
ISIC_0000040_downsampled,,cluster:d8b3145f95af0faf6c5b,train
ISIC_0000041_downsampled,,cluster:269ce51e6f4c714e7cd5,test
ISIC_0000042_downsampled,,cluster:815591bfdef6d554ddd5,train
ISIC_0000043_downsampled,,cluster:14611c7d2fe5ef188841,train
ISIC_0000044_downsampled,,cluster:0f1f2546396bc3484d99,train
ISIC_0000045_downsampled,,cluster:055e57c1831e5dc423ba,train
ISIC_0000046_downsampled,,cluster:c3cace8c47b21ebe3d9f,train
ISIC_0000047_downsampled,,cluster:69550aa02f6167f5cde5,train
ISIC_0000048_downsampled,,cluster:fa5a4067e53184723301,train
ISIC_0000049_downsampled,,cluster:e672a7c5ab90bdc57648,val
ISIC_0000050_downsampled,,cluster:418c6ac784d06cec8944,train
ISIC_0000051_downsampled,,cluster:c727265d4d23a6238b6b,train
ISIC_0000052_downsampled,,cluster:044b02f749730635d3aa,train
ISIC_0000053_downsampled,,cluster:4d493fa0215a03cf1bd6,train
ISIC_0000054_downsampled,,cluster:9057df13f4de84f10540,train
ISIC_0000055_downsampled,,cluster:712cdfa672a3665b4b0d,train
ISIC_0000056_downsampled,,cluster:cb6f209bd67140330071,train
ISIC_0000057_downsampled,,cluster:e8292f4fcc1daa13ad86,train
ISIC_0000058_downsampled,,cluster:6d43e5cbc31ae65362db,test
ISIC_0000059_downsampled,,cluster:c58e67a36b0f34fe9f8c,train
ISIC_0000060_downsampled,,cluster:2de99d4d28b3c7eb9fda,test
ISIC_0000061_downsampled,,cluster:3ef7554c6f95d4f45c03,val
ISIC_0000062_downsampled,,cluster:2c5d9483a4646b462bd2,train
ISIC_0000063_downsampled,,cluster:95c415a6e20001724307,train
ISIC_0000064_downsampled,,cluster:655a6811db0ec5a2e762,train
ISIC_0000065_downsampled,,cluster:cd3163cd17ef330510e7,train
ISIC_0000066,,cluster:8b1ef0f5c0538752a02c,val
ISIC_0000067,,cluster:b1c933dc6ad205066db4,val
ISIC_0000068,,cluster:256943a4bb6efb3a047a,train
ISIC_0000069,,cluster:a8428a021dcc27054735,val
ISIC_0000071,,cluster:a77a278e9e127e9d6961,test
ISIC_0000072,,cluster:d5a4bdf6223eb0a653cc,train
ISIC_0000073,,cluster:43673d852005bcb9b672,train
ISIC_0000074,,cluster:95a85f09fa07196fee33,train
ISIC_0000075,,cluster:9b85acdddf56aae317bb,train
ISIC_0000077_downsampled,,cluster:e4d2e738a488c5aacb74,train
ISIC_0000078_downsampled,,cluster:68c9b9521032b3c40db4,test
ISIC_0000079_downsampled,,cluster:e8469a94d7c0a8942278,train
ISIC_0000080_downsampled,,cluster:53079a49ba801eab6447,test
ISIC_0000081_downsampled,,cluster:edf94953d7d58d56bf6c,train
ISIC_0000082_downsampled,,cluster:5e5fd7bf5979011d3ac3,train
ISIC_0000085_downsampled,,cluster:8bbd32b75145131c61a5,train
ISIC_0000086_downsampled,,cluster:ce3b8345f9f2f13d0e64,train
ISIC_0000087_downsampled,,cluster:0e4a6a0da97bd95030df,val
ISIC_0000088_downsampled,,cluster:c5943467fda7cc9755aa,train
ISIC_0000089_downsampled,,cluster:e8f8f1a831e9a5a345ad,train
ISIC_0000091_downsampled,,cluster:5d882556da29c0c9b3d7,train
ISIC_0000092_downsampled,,cluster:c42cffa4752bf5c16696,train
ISIC_0000093_downsampled,,cluster:d9606c969ef3c73ab37c,train
ISIC_0000094_downsampled,,cluster:fdefc5088519d2274135,train
ISIC_0000095_downsampled,,cluster:fd3543452f42147a0a38,train
ISIC_0000096_downsampled,,cluster:349496bcfb134a6f187b,val
ISIC_0000097_downsampled,,cluster:07c7dbf565cdd1401d88,train
ISIC_0000098_downsampled,,cluster:80b9cd0531f9af4e3222,train
ISIC_0000099_downsampled,,cluster:8f4054878a0aaa5c96b1,val
ISIC_0000100_downsampled,,cluster:ce6220d0cefefea56026,train
ISIC_0000101_downsampled,,cluster:8cdd255d224af1327048,test
ISIC_0000102_downsampled,,cluster:ce1266edef8ef2cc4d6e,train
ISIC_0000103_downsampled,,cluster:c18646a84839c6c14ada,test
ISIC_0000104_downsampled,,cluster:089d84c017921b6c01f3,train
ISIC_0000105_downsampled,,cluster:255ce85b088cb0796a5b,train
ISIC_0000107_downsampled,,cluster:7c540dc6eb09bb479feb,test
ISIC_0000108_downsampled,,cluster:64b63da98d379ed50814,test
ISIC_0000109_downsampled,,cluster:0d16479171c6722f64f6,val
ISIC_0000110_downsampled,,cluster:53f231ac7ed1955ae0c3,val
ISIC_0000111_downsampled,,cluster:319ce01b18f536833af4,test
ISIC_0000112_downsampled,,cluster:5bd90c7f47ab3c663336,train
ISIC_0000113_downsampled,,cluster:82b274b06ae21d4d373f,train
ISIC_0000114_downsampled,,cluster:65e4d6641856462ad9f2,train
ISIC_0000115_downsampled,,cluster:f210713bb249cde9154a,test
ISIC_0000116_downsampled,,cluster:831c87d4207a1d843c13,train
ISIC_0000117_downsampled,,cluster:85df907f23b4cad09d27,train
ISIC_0000118_downsampled,,cluster:a21ab64368e1a0e91ec5,train
ISIC_0000119_downsampled,,cluster:31d3a8bc3df86aee7efc,train
ISIC_0000120_downsampled,,cluster:7c122216cfd8a131b5b6,train
ISIC_0000121_downsampled,,cluster:68c38e98551a5d3db8eb,train
ISIC_0000122_downsampled,,cluster:768f682e7f2d8619eede,train
ISIC_0000123_downsampled,,cluster:0278d4b0422d3c89058a,test
ISIC_0000124_downsampled,,cluster:6900025f786fe52c03c7,val
ISIC_0000125_downsampled,,cluster:dd7ce0e50bf8a3b737fc,train
ISIC_0000126_downsampled,,cluster:f59d4e44250afa5fac14,train
ISIC_0000127_downsampled,,cluster:d43b959d23906eaaca42,train
ISIC_0000128_downsampled,,cluster:1561ce5d0105fc72b16e,test
ISIC_0000129_downsampled,,cluster:3b63f5075645179d786f,train
ISIC_0000130_downsampled,,cluster:38f4e64f33bded086588,train
ISIC_0000131_downsampled,,cluster:a82a229e7e321cfbcf40,train
ISIC_0000132_downsampled,,cluster:ab413dc9d492941f9531,train
ISIC_0000133_downsampled,,cluster:1bb13d65229377ee13cb,train
ISIC_0000134_downsampled,,cluster:c9253909d4c8ecdea67b,train
ISIC_0000135_downsampled,,cluster:6da321c9ea0d65021c12,test
ISIC_0000136_downsampled,,cluster:f3cc741b33c46fc0ea91,train
ISIC_0000137_downsampled,,cluster:8c7c26d0df0d2b19079f,val
ISIC_0000138_downsampled,,cluster:cd950fa51b390bddc5a8,train
ISIC_0000139_downsampled,,cluster:a42601b84961c3c2c870,val
ISIC_0000140_downsampled,,cluster:6d59a6d994c3d62ed884,train
ISIC_0000141_downsampled,,cluster:ab08361eaa2562dd6328,train
ISIC_0000142_downsampled,,cluster:a13775b3702b40fc2357,train
ISIC_0000143_downsampled,,cluster:e6d5c4e13918e2316c8e,train
ISIC_0000145_downsampled,,cluster:41b597743a23c2f238aa,test
ISIC_0000146_downsampled,,cluster:15f7d6a74e00214e55c7,train
ISIC_0000147_downsampled,,cluster:835acdf247e5321bf205,train
ISIC_0000148_downsampled,,cluster:690fbfc2a0699912cef8,train
ISIC_0000149_downsampled,,cluster:d827e70a093e308c647a,train
ISIC_0000150_downsampled,,cluster:171333c3af2812472422,train
ISIC_0000151_downsampled,,cluster:f30d7508be6f20e13233,train
ISIC_0000152_downsampled,,cluster:b4e311a4c6b017ca555b,train
ISIC_0000153_downsampled,,cluster:a5b41ae57541512943bd,train
ISIC_0000154_downsampled,,cluster:bd81ec2bbf4b12e00249,test
ISIC_0000155_downsampled,,cluster:e8c6d1df2b8ae76e70d8,train
ISIC_0000156_downsampled,,cluster:fdc9ec8964432309987b,train
ISIC_0000157,,cluster:af6f1eec0af4c547bb05,test
ISIC_0000159,,cluster:1899d597b56864a66d79,test
ISIC_0000160,,cluster:96a3b4b03a9c745b5b7f,train
ISIC_0000161,,cluster:954962903493933aa8e9,train
ISIC_0000162,,cluster:2a6dfca70ee4e0fad026,train
ISIC_0000163,,cluster:3219aaf30742afdc3703,val
ISIC_0000164,,cluster:ec43ca3e857fb052f755,val
ISIC_0000165,,cluster:7d50823a62c78c828bdd,train
ISIC_0000166,,cluster:ccbb6e957b8d735dcd23,train
ISIC_0000167,,cluster:9ea521343d9f6ecb0d4f,train
ISIC_0000169,,cluster:19b4916b55e2d786fff8,train
ISIC_0000170,,cluster:ccc0ef9fd507c31c0512,train
ISIC_0000171,,cluster:9bc6b6ea977ac2770376,train
ISIC_0000172,,cluster:7982be082954c922e892,train
ISIC_0000173,,cluster:b23054aacb2adf069c3c,val
ISIC_0000174,,cluster:66c6e260eeaf4c01af19,train
ISIC_0000175,,cluster:553b5d4030cc1c0d7e80,train
ISIC_0000176_downsampled,,cluster:c1cc1ca7a5bfa5471f5f,val
ISIC_0000177_downsampled,,cluster:5db5652acb6bb1585339,train
ISIC_0000179_downsampled,,cluster:fac3c451c7c547180177,train
ISIC_0000181_downsampled,,cluster:e37fb0baa524bae96dba,train
ISIC_0000182_downsampled,,cluster:eadc2e2eac8863713f72,test
ISIC_0000183_downsampled,,cluster:14aa5e99df9843b818ee,val
ISIC_0000184_downsampled,,cluster:cd839f7561db3232f0d5,train
ISIC_0000185_downsampled,,cluster:caca2337434512f57429,test
ISIC_0000186_downsampled,,cluster:6d21e5d8475deccd6215,val
ISIC_0000187,,cluster:0f938dec729c243f9b12,train
ISIC_0000188_downsampled,,cluster:35c0545c0e20ab814003,train
ISIC_0000189_downsampled,,cluster:d2f3f9a967d210f16eef,val
ISIC_0000190,,cluster:c304ca9410f7c7b70c65,test
ISIC_0000191_downsampled,,cluster:326742d5c59481d1775b,train
ISIC_0000192_downsampled,,cluster:cca62f5e84ceb729c4da,train
ISIC_0000193_downsampled,,cluster:51eb5c02e548cf2d22b1,train
ISIC_0000195_downsampled,,cluster:1988a5255e84b5010773,train
ISIC_0000196_downsampled,,cluster:ce2ec8a318573da8a832,train
ISIC_0000197_downsampled,,cluster:1fd9f5b9ff09e5830419,test
ISIC_0000198,,cluster:b2234a209aa045491d20,train
ISIC_0000199,,cluster:717c9cd633c70b7c4dea,train
ISIC_0000200,,cluster:37ffa541b04d553ced4b,test
ISIC_0000201_downsampled,,cluster:d73baad587cb175b1ad0,train
ISIC_0000202_downsampled,,cluster:fbf5242b2d2bbd0f6af7,val
ISIC_0000203_downsampled,,cluster:085eb4dde8ed4ab975c4,train
ISIC_0000204_downsampled,,cluster:214258102d9c41c83541,train
ISIC_0000205_downsampled,,cluster:28d4d9863f9546d2a958,val
ISIC_0000206_downsampled,,cluster:ac1973bc512cb6c66774,train
ISIC_0000207_downsampled,,cluster:93dcf48fce1585a58d64,test
ISIC_0000208_downsampled,,cluster:c558619607fb0b9df233,train
ISIC_0000209,,cluster:948c81d43b583b4b3024,train
ISIC_0000210,,cluster:5882f8ad771e69266e38,train
ISIC_0000211,,cluster:89004115dec737b1ad9d,val
ISIC_0000212,,cluster:d09c94a507a0d20a32f8,train
ISIC_0000213,,cluster:b79f55ac7c28d3350675,test
ISIC_0000214,,cluster:00b47c91cebb64891e71,train
ISIC_0000215,,cluster:33600f425138f33add7e,train
ISIC_0000216,,cluster:1d2302be71b2f7071232,train
ISIC_0000217,,cluster:ca1810250a93990bd66d,val
ISIC_0000218_downsampled,,cluster:dfe1b95dd56048d6ad9d,train
ISIC_0000219,,cluster:37a39ebc9fdac10ca918,train
ISIC_0000220,,cluster:0a3f277f5a8c23e6284b,test
ISIC_0000221,,cluster:86f53a09a73a7c2ebf31,val
ISIC_0000222,,cluster:62a1a2c2d4ff3d0e28fb,val
ISIC_0000223,,cluster:768ddec87b9b577ac148,test
ISIC_0000224,,cluster:bcc1cb31c1f5d5fa9003,train
ISIC_0000225,,cluster:e34ccbf5f9b5cf24f9f7,test
ISIC_0000226,,cluster:8bb4e760ce5f32f703b2,train
ISIC_0000227,,cluster:9446e05b6be9b3250cb6,train
ISIC_0000228,,cluster:b15efe755fc3d94cc007,test
ISIC_0000229,,cluster:5da6a326e76cf1b676f6,train
ISIC_0000230,,cluster:b4c6c24991b39e55fca4,test
ISIC_0000231,,cluster:4d258f1ff2b35f69c71c,train
ISIC_0000232,,cluster:011ee86a80d10d7c350a,val
ISIC_0000233,,cluster:cb98aae8d0ff62204c3f,train
ISIC_0000234,,cluster:d303a8bf4a4e94a1d5e8,train
ISIC_0000235,,cluster:1a85c6d189cde08fd823,train
ISIC_0000236,,cluster:5bf97bf19bc4c668793b,train
ISIC_0000237,,cluster:d4e6e020eb990c0bd84a,train
ISIC_0000239,,cluster:957c5dea907bbd98f30b,train
ISIC_0000240,,cluster:6552655c6f4fe55cb460,val
ISIC_0000242,,cluster:d513c4af5a156028d2d4,val
ISIC_0000243,,cluster:359bdfcbd3ef88372ffe,train
ISIC_0000244,,cluster:1305486446caf985742b,val
ISIC_0000245,,cluster:0062478a933a0148c61d,train
ISIC_0000246,,cluster:c061602c16b758893050,train
ISIC_0000247,,cluster:48f16efd2b666dcb5b13,train
ISIC_0000249,,cluster:cb41a7753009ac44c532,train
ISIC_0000250,,cluster:77c63a64ae15ff685db3,train
ISIC_0000251,,cluster:7b66054dc508113c1168,train
ISIC_0000252,,cluster:6b40bb38e0b4eb29dd6b,train
ISIC_0000253,,cluster:ba62da4eaf11936cfb56,test
ISIC_0000254,,cluster:7b4bc0b69ada9d4d90bd,train
ISIC_0000255,,cluster:1d384765fc666aad4c5d,train
ISIC_0000256,,cluster:bb0d579bc17210d0c01a,test
ISIC_0000258,,cluster:c4ba63e63e63d28d2c91,train
ISIC_0000259,,cluster:8e39573af95ccea18e0d,train
ISIC_0000260,,cluster:7655cfbbccb897144fa4,train
ISIC_0000261,,cluster:f122395682ea65bf6eaf,train
ISIC_0000262,,cluster:e81b760c44f05809ac22,val
ISIC_0000263,,cluster:7aace79c6caaf296d27b,train
ISIC_0000264,,cluster:d7161c3c406a5c3c333b,train
ISIC_0000265,,cluster:c5748befe952ef9b1dbc,train
ISIC_0000268,,cluster:eaae543411cd899b46be,test
ISIC_0000269,,cluster:e8eda824d05edabc3735,train
ISIC_0000271,,cluster:95afc6e5db92aba84636,test
ISIC_0000274,,cluster:fb459b344ad73ec73796,test
ISIC_0000275,,cluster:4f9bc0f6bd62150ccaab,train
ISIC_0000276,,cluster:57f3d715ca16569e0e09,train
ISIC_0000277,,cluster:41badafc4b3e95460a21,train
ISIC_0000278,,cluster:4661fc8c800437e2824d,train
ISIC_0000279,,cluster:6d274a77d07cf20aa677,train
ISIC_0000281,,cluster:ca2e6130a2d5d7ec1835,test
ISIC_0000282,,cluster:f378d8b595893f850e70,train
ISIC_0000283,,cluster:da7e38d16146128be3c7,train
ISIC_0000285,,cluster:37f263d6e2834a8a1edb,train
ISIC_0000287,,cluster:c6c63d8626c2bf370f11,train
ISIC_0000288,,cluster:1cacf5b51850a90c1d2b,test
ISIC_0000289,,cluster:5b4fd54eebdbc529e108,train
ISIC_0000290,,cluster:26b8429ec78a4d030983,test
ISIC_0000292,,cluster:f2d77f7940c3e04f4b8d,val
ISIC_0000293,,cluster:6b9ad4622d0545ab5b1a,train
ISIC_0000294,,cluster:c745ace55ef656ca52d6,train
ISIC_0000295,,cluster:ce407a64a32fcf2ead87,val
ISIC_0000297,,cluster:2daf152df105f4046ba6,train
ISIC_0000298,,cluster:70a8eefe5aaa159e5ce4,train
ISIC_0000299,,cluster:14e0d60b0d8b97fcbb64,train
ISIC_0000300,,cluster:3a894162f6b0e2e3f9f3,test
ISIC_0000301,,cluster:276c4df5f8df891cacf1,train
ISIC_0000302,,cluster:bffdd50cb897936b8ddf,test
ISIC_0000303,,cluster:fc1f16ba51db1070754e,train
ISIC_0000306,,cluster:fe3829e5c1c0dacfb661,test
ISIC_0000307,,cluster:44ed1b0a70d445cd376d,train
ISIC_0000310,,cluster:30a28aa9fcaf4a858ce5,train
ISIC_0000311,,cluster:fb99bd0bf152c46be0e2,val
ISIC_0000313,,cluster:3769675c71140e7744bb,train
ISIC_0000314,,cluster:8432311af5ab9f26905a,train
ISIC_0000315,,cluster:94711fe1f02ecfba1003,train
ISIC_0000316,,cluster:c8a7bef8948ab9824492,train
ISIC_0000317,,cluster:d510163e330f269f7067,val
ISIC_0000319,,cluster:f3cf2d2a8c032e924689,test
ISIC_0000320,,cluster:a7205bd05e55c21c2571,train
ISIC_0000321,,cluster:f8dfe44a8c6ae73ba25d,train
ISIC_0000322,,cluster:60613dfed250f6f0a2cf,test
ISIC_0000323,,cluster:eb6adc68da2659bdc234,train
ISIC_0000324,,cluster:aeaaa05748623cd91f08,train
ISIC_0000325,,cluster:ea4558b86e635c481f1a,train
ISIC_0000326,,cluster:c9457ea6deb5d3d3683b,train
ISIC_0000327,,cluster:964c4f8bf585455652d5,val
ISIC_0000328,,cluster:809cb3cf50a428c3b8a4,train
ISIC_0000329,,cluster:dfda4fe765b9b76b77b5,test
ISIC_0000330,,cluster:eb488801dfc3a6dd7dca,train
ISIC_0000331,,cluster:9a32b72b98b797adc344,train
ISIC_0000332,,cluster:5fc3b641f916af72a131,train
ISIC_0000333,,cluster:d6ceb8190381c15ecb01,train
ISIC_0000336,,cluster:c675ccd76b5028df143c,test
ISIC_0000337,,cluster:bb859c444c46f4fbbe09,test
ISIC_0000338,,cluster:c022e0180b44257685f0,test
ISIC_0000339,,cluster:d61f24dfba617a8d0629,train
ISIC_0000340,,cluster:85a87094dce511299653,val
ISIC_0000341,,cluster:5d83c880e144fd00a21a,val
ISIC_0000342,,cluster:8345831670957ae1660e,train
ISIC_0000343,,cluster:78680d0dee7160faebf2,train
ISIC_0000344,,cluster:a8e33f53ee626daf147e,train
ISIC_0000345,,cluster:c7c83f8d563f68c26ece,train
ISIC_0000346,,cluster:22f1dac651ee9732b5a7,test
ISIC_0000347,,cluster:660408f9f8229f38d96d,train
ISIC_0000348,,cluster:16e311a4a8fe12a2188e,train
ISIC_0000349,,cluster:ecebe9d1534296b499b2,train
ISIC_0000350,,cluster:fed17c1960fe818c48b6,val
ISIC_0000351,,cluster:85a3b4ac9e5bcef2c21b,train
ISIC_0000352,,cluster:f1c8c015f49c93b34d3e,train
ISIC_0000353,,cluster:51dded35aa6fadb6b188,test
ISIC_0000354,,cluster:0f654313a42515066adc,test
ISIC_0000355,,cluster:015b4be3142b2bc46498,test
ISIC_0000357,,cluster:cc8fd181f64baeec6870,test
ISIC_0000358,,cluster:3c306934800090103b76,train
ISIC_0000359,,cluster:fe723a4c8710ddcc143f,train
ISIC_0000360,,cluster:590e3f47cd2296900ac6,test
ISIC_0000361,,cluster:aead66184e51c1b4a6c7,train
ISIC_0000363,,cluster:67e899c967b4549eeb82,train
ISIC_0000364,,cluster:b4af96eb58eb6f08e0d0,train
ISIC_0000365,,cluster:2913ad05a1e2e2e950f4,train
ISIC_0000366,,cluster:8231a18a8e23a86be128,test
ISIC_0000367,,cluster:73eeba5fee129e9b4c54,train
ISIC_0000368,,cluster:39b9090281e7d3f1083a,train
ISIC_0000369,,cluster:fdfde76f6ab27f7208ee,train
ISIC_0000370,,cluster:4d2a8104b6347a76d7f1,train
ISIC_0000371,,cluster:9ed4de30d1dd01c016bc,train
ISIC_0000372,,cluster:5cab7b4ebb8be730261a,test
ISIC_0000374,,cluster:6dba179d8a6771daef49,train
ISIC_0000376_downsampled,,cluster:965ff0be39497a73b0c1,train
ISIC_0000377_downsampled,,cluster:72a488a9ce9c567dc155,test
ISIC_0000378_downsampled,,cluster:d048e18240d8ea107784,train
ISIC_0000379_downsampled,,cluster:a3bf8107967a7eea9450,train
ISIC_0000380_downsampled,,cluster:0bc2d4195ac169d5ffde,train
ISIC_0000381_downsampled,,cluster:8b97ad65bd68d76e65ba,val
ISIC_0000382_downsampled,,cluster:f37cd9fc3adfa195238d,val
ISIC_0000383_downsampled,,cluster:117c62c7a9620f4256c0,val
ISIC_0000384_downsampled,,cluster:a05da04c764017641c53,train
ISIC_0000385_downsampled,,cluster:29612c11238349641970,val
ISIC_0000386_downsampled,,cluster:fe512b6795c917c03350,val
ISIC_0000387_downsampled,,cluster:31fd7a18f3cac14d0121,train
ISIC_0000388_downsampled,,cluster:1e482280dd0a7095d14b,train
ISIC_0000390_downsampled,,cluster:301fcd0cf71fa48231dd,train
ISIC_0000391_downsampled,,cluster:da033214c0f63cd44ccf,train
ISIC_0000392_downsampled,,cluster:2bd63be411a9d7a76838,val
ISIC_0000393_downsampled,,cluster:3bb9b6e6b08029832b05,train
ISIC_0000395_downsampled,,cluster:6ebd9d92bd706de6ef05,train
ISIC_0000396_downsampled,,cluster:d0e667e29d7044eee9f0,test
ISIC_0000397_downsampled,,cluster:2d72a09edc192485569f,train
ISIC_0000403_downsampled,,cluster:1aec4ee65a08b73958a6,train
ISIC_0000407_downsampled,,cluster:d928f47c47dff1750882,train
ISIC_0000408_downsampled,,cluster:003bb9f810d2434d957d,train
ISIC_0000409_downsampled,,cluster:7a523a43818fa85dd370,train
ISIC_0000410_downsampled,,cluster:8ab0719573623db4ffb0,train
ISIC_0000412_downsampled,,cluster:2ab3ac8f2095906be032,val
ISIC_0000413_downsampled,,cluster:adedd3e2aa2719bd2303,train
ISIC_0000415_downsampled,,cluster:b5c551c8abfeecde6359,val
ISIC_0000416_downsampled,,cluster:b58972989e8cdb6a2bc9,val
ISIC_0000418_downsampled,,cluster:8c0597f689dccf689786,train
ISIC_0000419_downsampled,,cluster:0d627f398fd3851e6890,train
ISIC_0000420_downsampled,,cluster:3d68570b5247b695b0d0,train
ISIC_0000421_downsampled,,cluster:b39f260c9a1426e91410,train
ISIC_0000423_downsampled,,cluster:8bd3f579b08feb1f17f6,train
ISIC_0000425_downsampled,,cluster:7bd3511c7c8aae6c03e1,train
ISIC_0000426_downsampled,,cluster:9175c6ac38bd454878d3,train
ISIC_0000427_downsampled,,cluster:a2a5eb6097fd0e52396c,train
ISIC_0000431_downsampled,,cluster:2b599a879e48d9a7f6ca,train
ISIC_0000433_downsampled,,cluster:2ea900037638db7a7db0,test
ISIC_0000434_downsampled,,cluster:58fcad892bebb5621993,train
ISIC_0000436_downsampled,,cluster:440697e0fbbb43adc8a6,train
ISIC_0000439_downsampled,,cluster:50feec181959281bcc75,train
ISIC_0000442_downsampled,,cluster:4cb6df347f107af94b49,val
ISIC_0000443_downsampled,,cluster:37d8cecbbccafd98c0aa,train
ISIC_0000444_downsampled,,cluster:e78b1af588d8474d61da,train
ISIC_0000445_downsampled,,cluster:3c1e0b141806ec81bc53,train
ISIC_0000447_downsampled,,cluster:f63798f28d367b2a9b14,train
ISIC_0000448_downsampled,,cluster:eee294223bdde18c1ea0,val
ISIC_0000449_downsampled,,cluster:8b91f5d2fa1ca84b3c1e,test
ISIC_0000451_downsampled,,cluster:5c3a85afbb0ddeb87122,train
ISIC_0000452_downsampled,,cluster:6b0aa72fbf5c53565ad7,train
ISIC_0000453_downsampled,,cluster:7d1e2b01b34f8682fdc6,train
ISIC_0000455_downsampled,,cluster:19bbb02118a97ff595b4,train
ISIC_0000456_downsampled,,cluster:dbfd800f40d90bea0f30,train
ISIC_0000457_downsampled,,cluster:4af53d12566171ba39ce,train
ISIC_0000458,,cluster:f1399ec54ccd89c0babd,train
ISIC_0000460,,cluster:5327797ffaae415952bf,val
ISIC_0000461,,cluster:6ce33e1c97ea0818e33b,val
ISIC_0000463_downsampled,,cluster:5c9a32f381514af5d4ea,train
ISIC_0000465,,cluster:0ccf371b3a039392d398,train
ISIC_0000466,,cluster:f999ca81328f15091f42,val
ISIC_0000467,,cluster:8523aba9b0c075b7ff3f,train
ISIC_0000468,,cluster:00d04fcf7377667da63f,train
ISIC_0000469,,cluster:6588cd09a419b235ea59,train
ISIC_0000470,,cluster:892d7d3cf99a8a22c1c6,val
ISIC_0000471,,cluster:2c6b3b1a3d70c33a2cee,test
ISIC_0000473_downsampled,,cluster:8dbe2505c95316344b87,train
ISIC_0000474,,cluster:2e853d68f5e3431a8878,train
ISIC_0000475,,cluster:0f78f5feb39b56a9d3d0,train
ISIC_0000476,,cluster:67c78a9c981b25f7d782,train
ISIC_0000477,,cluster:2e15c60f1e849fe9d848,test
ISIC_0000478,,cluster:407ba28ab6d95e76c42a,train
ISIC_0000479,,cluster:5550707a3e1b14767bcd,test
ISIC_0000480,,cluster:9b89e59f6a5266aee7fa,train
ISIC_0000481,,cluster:d52d40d5b089ad9b8d8c,test
ISIC_0000482,,cluster:a79e6c36827572095999,train
ISIC_0000483,,cluster:914f25fa7d9e1ce62bc4,val
ISIC_0000484,,cluster:7eed6f2407bfea9247d5,train
ISIC_0000485,,cluster:4be06b1d973d9b2b3420,train
ISIC_0000486,,cluster:47084afe9d8c71e303e3,train
ISIC_0000487,,cluster:d2814c3e56f5f72575d0,test
ISIC_0000488,,cluster:2fefec10584c1cb0b759,train
ISIC_0000489,,cluster:7e89759a742ffdb7aac8,train
ISIC_0000490,,cluster:b77c19022069c79f25bd,train
ISIC_0000491,,cluster:2dd56f10e797c0ae1737,train
ISIC_0000492,,cluster:fcc72b42bbe343838d29,train
ISIC_0000493,,cluster:46744d3f8c8f0c2993cd,test
ISIC_0000494,,cluster:fbe086e621788b53021b,train
ISIC_0000495,,cluster:5480b92d1a64f1c07434,train
ISIC_0000496,,cluster:2f77689e8ec1d5d778b0,train
