image_id,llava_med_head,clip_probe_head
ISIC_0002489_downsampled,a0,a0
ISIC_0002616_downsampled,a0,a0
ISIC_0002879_downsampled,a0,a0
ISIC_0002975_downsampled,a1,a0
ISIC_0003056_downsampled,a0,a0
ISIC_0003559_downsampled,a0,a0
ISIC_0005639_downsampled,a1,a0
ISIC_0006114_downsampled,a0,a0
ISIC_0007038_downsampled,a0,a0
ISIC_0007141_downsampled,a1,a0
ISIC_0007796_downsampled,a0,a0
ISIC_0008025_downsampled,a0,a0
ISIC_0008145_downsampled,a3,a0
ISIC_0008294_downsampled,a1,a0
ISIC_0008507_downsampled,a0,a0
ISIC_0008524_downsampled,a1,a0
ISIC_0008528_downsampled,a0,a0
ISIC_0008552_downsampled,a0,a0
ISIC_0009505_downsampled,a1,a0
ISIC_0009873,a0,a1
ISIC_0009902,a0,a0
ISIC_0009918,a0,a3
ISIC_0009921,a1,a0
ISIC_0009929,a0,a0
ISIC_0009939,a0,a0
ISIC_0009944,a0,a0
ISIC_0009945,a0,a0
ISIC_0009949,a0,a0
ISIC_0009954,a0,a0
ISIC_0009964,a1,a0
ISIC_0009965,a0,a0
ISIC_0009970,a1,a2
ISIC_0009971,a1,a0
ISIC_0009987,a0,a0
ISIC_0009991,a0,a0
ISIC_0010010,a0,a0
ISIC_0010011,a0,a0
ISIC_0010029,a0,a2
ISIC_0010046,a3,a0
ISIC_0010056,a1,a3
ISIC_0010057,a0,a0
ISIC_0010093,a0,a0
ISIC_0010102,a1,a0
ISIC_0010170,a0,a0
ISIC_0010171,a1,a0
ISIC_0010182,a3,a0
ISIC_0010191,a0,a2
ISIC_0010193,a0,a0
ISIC_0010201,a0,a0
ISIC_0010216,a0,a0
ISIC_0010228,a0,a0
ISIC_0010232,a0,a0
ISIC_0010235,a0,a2
ISIC_0010251,a1,a0
ISIC_0010264,a0,a1
ISIC_0010267,a0,a2
ISIC_0010329,a1,a3
ISIC_0010351,a0,a0
ISIC_0010371,a0,a2
ISIC_0010457,a1,a1
ISIC_0010461,a0,a0
ISIC_0010468,a0,a2
ISIC_0010474,a0,a0
ISIC_0010491,a0,a0
ISIC_0010496,a0,a1
ISIC_0010554,a0,a0
ISIC_0010589,a3,a2
ISIC_0010592,a1,a0
ISIC_0010595,a3,a0
ISIC_0010607,a0,a0
ISIC_0010856,a0,a0
ISIC_0010858,a0,a0
ISIC_0011081,a0,a1
ISIC_0011082,a2,a0
ISIC_0011083,a2,a0
ISIC_0011084,a0,a2
ISIC_0011089,a0,a0
ISIC_0011117,a2,a2
ISIC_0011149,a0,a2
ISIC_0011155,a0,a0
ISIC_0011162,a1,a0
ISIC_0011171,a1,a0
ISIC_0011177,a0,a0
ISIC_0011210,a1,a0
ISIC_0011218,a0,a0
ISIC_0011315,a1,a2
ISIC_0011327,a0,a0
ISIC_0011329,a0,a3
ISIC_0011343,a0,a0
ISIC_0011353,a1,a0
ISIC_0011357,a0,a0
ISIC_0011362,a1,a0
ISIC_0011373,a0,a2
ISIC_0011383,a0,a0
ISIC_0011384,a1,a2
ISIC_0012109_downsampled,a0,a2
ISIC_0012149_downsampled,a0,a2
ISIC_0012150_downsampled,a0,a2
ISIC_0012172_downsampled,a0,a1
ISIC_0012173_downsampled,a0,a2
ISIC_0012199_downsampled,a0,a1
ISIC_0012221_downsampled,a3,a0
ISIC_0012223_downsampled,a1,a0
ISIC_0012230_downsampled,a0,a0
ISIC_0012235_downsampled,a0,a0
ISIC_0012250_downsampled,a1,a0
ISIC_0012253_downsampled,a0,a0
ISIC_0012259_downsampled,a0,a0
ISIC_0012311_downsampled,a1,a0
ISIC_0012323_downsampled,a0,a2
ISIC_0012329_downsampled,a0,a1
ISIC_0012338_downsampled,a0,a0
ISIC_0012348_downsampled,a3,a1
ISIC_0012356_downsampled,a0,a0
ISIC_0012364_downsampled,a0,a1
ISIC_0012376_downsampled,a0,a0
ISIC_0012377_downsampled,a0,a1
ISIC_0012382_downsampled,a0,a1
ISIC_0012395_downsampled,a1,a1
ISIC_0012406_downsampled,a0,a0
ISIC_0012413_downsampled,a0,a0
ISIC_0012416_downsampled,a0,a0
ISIC_0012433_downsampled,a1,a1
ISIC_0012450_downsampled,a0,a0
ISIC_0012469_downsampled,a0,a0
ISIC_0012495_downsampled,a0,a0
ISIC_0012496_downsampled,a0,a0
ISIC_0012517_downsampled,a0,a0
ISIC_0012549_downsampled,a0,a0
ISIC_0012550_downsampled,a0,a1
ISIC_0012654_downsampled,a1,a0
ISIC_0012658_downsampled,a0,a0
ISIC_0012678_downsampled,a1,a2
ISIC_0012680_downsampled,a0,a0
ISIC_0012682_downsampled,a0,a0
ISIC_0012715_downsampled,a1,a0
ISIC_0012737_downsampled,a1,a0
ISIC_0012739_downsampled,a0,a0
ISIC_0012756_downsampled,a1,a1
ISIC_0012806_downsampled,a0,a0
ISIC_0012814_downsampled,a0,a0
ISIC_0012855_downsampled,a0,a0
ISIC_0012903_downsampled,a0,a0
ISIC_0012939_downsampled,a0,a1
ISIC_0012944_downsampled,a1,a0
ISIC_0012952_downsampled,a1,a0
ISIC_0013000_downsampled,a0,a1
ISIC_0013007_downsampled,a1,a0
ISIC_0013023_downsampled,a0,a0
ISIC_0013026_downsampled,a1,a0
ISIC_0013030_downsampled,a0,a0
ISIC_0013039_downsampled,a0,a0
ISIC_0013054_downsampled,a1,a1
ISIC_0013071_downsampled,a1,a0
ISIC_0013084_downsampled,a1,a1
ISIC_0013090_downsampled,a0,a0
ISIC_0013097_downsampled,a0,a0
ISIC_0013120_downsampled,a0,a0
ISIC_0013128_downsampled,a0,a0
ISIC_0013146_downsampled,a0,a2
ISIC_0013164_downsampled,a0,a0
ISIC_0013173_downsampled,a0,a2
ISIC_0013181_downsampled,a0,a1
ISIC_0013184_downsampled,a1,a2
ISIC_0013207_downsampled,a0,a0
ISIC_0013212_downsampled,a1,a0
ISIC_0013216_downsampled,a0,a0
ISIC_0013236_downsampled,a0,a0
ISIC_0013329_downsampled,a0,a1
ISIC_0013335_downsampled,a0,a0
ISIC_0013371_downsampled,a0,a1
ISIC_0013398_downsampled,a0,a0
ISIC_0013421_downsampled,a0,a0
ISIC_0013424_downsampled,a0,a0
ISIC_0013434_downsampled,a0,a0
ISIC_0013457_downsampled,a0,a2
ISIC_0013465_downsampled,a0,a0
ISIC_0013487_downsampled,a0,a0
ISIC_0013491_downsampled,a0,a0
ISIC_0013494_downsampled,a1,a0
ISIC_0013495_downsampled,a1,a1
ISIC_0013497_downsampled,a1,a0
ISIC_0013500_downsampled,a0,a3
ISIC_0013517_downsampled,a0,a0
ISIC_0013559_downsampled,a1,a2
ISIC_0013565_downsampled,a0,a1
ISIC_0013584_downsampled,a0,a2
ISIC_0013585_downsampled,a0,a2
ISIC_0013597_downsampled,a0,a0
ISIC_0013615_downsampled,a1,a0
ISIC_0013632_downsampled,a0,a1
ISIC_0013644_downsampled,a0,a1
ISIC_0013656_downsampled,a1,a1
ISIC_0013674_downsampled,a0,a1
ISIC_0013675_downsampled,a0,a0
ISIC_0013706_downsampled,a0,a0
ISIC_0013707_downsampled,a0,a1
ISIC_0013725_downsampled,a0,a2
ISIC_0013733_downsampled,a0,a0
ISIC_0013739_downsampled,a0,a1
ISIC_0013758_downsampled,a1,a0
ISIC_0013762_downsampled,a0,a1
ISIC_0013767_downsampled,a0,a1
ISIC_0013793_downsampled,a0,a0
ISIC_0013805_downsampled,a0,a0
ISIC_0013832_downsampled,a0,a1
ISIC_0013840_downsampled,a3,a0
ISIC_0013861_downsampled,a1,a1
ISIC_0013865_downsampled,a0,a1
ISIC_0013874_downsampled,a0,a0
ISIC_0013897_downsampled,a0,a0
ISIC_0013917_downsampled,a1,a0
ISIC_0013936_downsampled,a1,a0
ISIC_0013975_downsampled,a0,a0
ISIC_0013977_downsampled,a0,a0
ISIC_0013980_downsampled,a0,a0
ISIC_0013983_downsampled,a1,a0
ISIC_0013988_downsampled,a1,a0
ISIC_0014001_downsampled,a0,a0
ISIC_0014045_downsampled,a1,a0
ISIC_0014062_downsampled,a1,a1
ISIC_0014076_downsampled,a0,a1
ISIC_0014162_downsampled,a0,a0
ISIC_0014169_downsampled,a0,a1
ISIC_0014187_downsampled,a0,a0
ISIC_0014190_downsampled,a0,a2
ISIC_0014216_downsampled,a1,a0
ISIC_0014225_downsampled,a1,a0
ISIC_0014233_downsampled,a0,a2
ISIC_0014238_downsampled,a0,a0
ISIC_0014248_downsampled,a0,a0
ISIC_0014249_downsampled,a1,a3
ISIC_0014253_downsampled,a0,a0
ISIC_0014278_downsampled,a0,a0
ISIC_0014289_downsampled,a0,a0
ISIC_0014311_downsampled,a0,a1
ISIC_0014325_downsampled,a0,a2
ISIC_0014327_downsampled,a0,a2
ISIC_0014346_downsampled,a2,a0
ISIC_0014386_downsampled,a1,a0
ISIC_0014410_downsampled,a0,a0
ISIC_0014423_downsampled,a0,a0
ISIC_0014432_downsampled,a0,a0
ISIC_0014433_downsampled,a0,a0
ISIC_0014457_downsampled,a0,a0
ISIC_0014489_downsampled,a0,a2
ISIC_0014501_downsampled,a1,a1
ISIC_0014516_downsampled,a1,a0
ISIC_0014572_downsampled,a1,a0
ISIC_0014578_downsampled,a0,a0
ISIC_0014592_downsampled,a1,a0
ISIC_0014595_downsampled,a0,a0
ISIC_0014596_downsampled,a0,a0
ISIC_0014598_downsampled,a1,a0
ISIC_0014613_downsampled,a1,a0
ISIC_0014615_downsampled,a3,a0
ISIC_0014618_downsampled,a1,a0
ISIC_0014632_downsampled,a1,a0
ISIC_0014640_downsampled,a0,a0
ISIC_0014641_downsampled,a0,a0
ISIC_0014648_downsampled,a0,a0
ISIC_0014653_downsampled,a0,a0
ISIC_0014661_downsampled,a1,a0
ISIC_0014687_downsampled,a0,a1
ISIC_0014695_downsampled,a0,a0
ISIC_0014702_downsampled,a0,a0
ISIC_0014708_downsampled,a0,a1
ISIC_0014728_downsampled,a0,a1
ISIC_0014735_downsampled,a1,a1
ISIC_0014760_downsampled,a1,a0
ISIC_0014765_downsampled,a0,a0
ISIC_0014775_downsampled,a1,a0
ISIC_0014778_downsampled,a0,a0
ISIC_0014783_downsampled,a0,a0
ISIC_0014807_downsampled,a1,a0
ISIC_0014814_downsampled,a0,a0
ISIC_0014818_downsampled,a0,a0
ISIC_0014825_downsampled,a0,a0
ISIC_0014826_downsampled,a0,a0
ISIC_0014848_downsampled,a0,a0
ISIC_0014855_downsampled,a0,a1
ISIC_0014867_downsampled,a0,a0
ISIC_0014869_downsampled,a2,a1
ISIC_0014891_downsampled,a1,a2
ISIC_0014907_downsampled,a0,a0
ISIC_0014910_downsampled,a0,a1
ISIC_0014911_downsampled,a0,a0
ISIC_0014912_downsampled,a1,a3
ISIC_0014940_downsampled,a0,a0
ISIC_0014958_downsampled,a0,a0
ISIC_0014961_downsampled,a0,a1
ISIC_0014968_downsampled,a0,a1
ISIC_0014975_downsampled,a0,a1
ISIC_0014977_downsampled,a0,a0
ISIC_0014983_downsampled,a3,a0
ISIC_0014994_downsampled,a1,a0
ISIC_0015007_downsampled,a0,a0
ISIC_0015008_downsampled,a0,a0
ISIC_0015013_downsampled,a0,a3
ISIC_0015020_downsampled,a0,a1
ISIC_0015038_downsampled,a0,a0
ISIC_0015045_downsampled,a1,a2
ISIC_0015051_downsampled,a3,a0
ISIC_0015079_downsampled,a0,a2
ISIC_0015124_downsampled,a0,a0
ISIC_0015133_downsampled,a1,a0
ISIC_0015136_downsampled,a1,a2
ISIC_0015140_downsampled,a0,a0
ISIC_0015142_downsampled,a0,a2
ISIC_0015160_downsampled,a1,a0
ISIC_0015174_downsampled,a0,a0
ISIC_0015175_downsampled,a0,a0
ISIC_0015208_downsampled,a1,a0
ISIC_0015211_downsampled,a1,a0
ISIC_0015254_downsampled,a1,a0
ISIC_0015255_downsampled,a0,a3
ISIC_0015291_downsampled,a0,a0
ISIC_0015298_downsampled,a0,a0
ISIC_0015312_downsampled,a0,a1
ISIC_0015386_downsampled,a0,a1
ISIC_0015412_downsampled,a0,a0
ISIC_0015526_downsampled,a0,a0
ISIC_0015566_downsampled,a0,a0
ISIC_0015962_downsampled,a0,a0
ISIC_0015965_downsampled,a0,a0
ISIC_0015972_downsampled,a0,a0
ISIC_0015973_downsampled,a0,a0
ISIC_0015976_downsampled,a1,a0
ISIC_0015981_downsampled,a0,a0
ISIC_0015989_downsampled,a0,a2
ISIC_0015997_downsampled,a0,a0
ISIC_0016000_downsampled,a0,a2
ISIC_0016019_downsampled,a0,a1
ISIC_0016022_downsampled,a0,a0
ISIC_0016029_downsampled,a1,a0
ISIC_0016035_downsampled,a0,a1
ISIC_0016041_downsampled,a0,a0
ISIC_0016069_downsampled,a0,a0
ISIC_0024306,a0,a0
ISIC_0024307,a0,a0
ISIC_0024311,a3,a0
ISIC_0024317,a0,a0
ISIC_0024322,a0,a0
ISIC_0024336,a0,a1
ISIC_0024341,a3,a0
ISIC_0024347,a1,a0
ISIC_0024352,a1,a0
ISIC_0024354,a0,a0
ISIC_0024355,a0,a0
ISIC_0024357,a3,a0
ISIC_0024362,a0,a0
ISIC_0024386,a0,a0
ISIC_0024397,a1,a0
ISIC_0024399,a2,a0
ISIC_0024406,a1,a0
ISIC_0024426,a0,a2
ISIC_0024435,a0,a0
ISIC_0024436,a0,a1
ISIC_0024438,a0,a0
ISIC_0024445,a0,a0
ISIC_0024454,a0,a2
ISIC_0024456,a0,a0
ISIC_0024460,a0,a0
ISIC_0024462,a0,a0
ISIC_0024470,a0,a2
ISIC_0024471,a0,a1
ISIC_0024479,a0,a0
ISIC_0024530,a1,a0
ISIC_0024534,a0,a0
ISIC_0024536,a0,a0
ISIC_0024545,a1,a2
ISIC_0024550,a0,a2
ISIC_0024552,a0,a2
ISIC_0024560,a1,a1
ISIC_0024571,a0,a1
ISIC_0024589,a0,a0
ISIC_0024592,a0,a0
ISIC_0024593,a0,a0
ISIC_0024595,a0,a0
ISIC_0024606,a1,a0
ISIC_0024613,a0,a0
ISIC_0024624,a3,a0
ISIC_0024631,a1,a0
ISIC_0024640,a0,a3
ISIC_0024649,a0,a0
ISIC_0024660,a0,a0
ISIC_0024661,a0,a0
ISIC_0024671,a0,a0
ISIC_0024678,a0,a0
ISIC_0024688,a0,a0
ISIC_0024689,a1,a0
ISIC_0024691,a0,a0
ISIC_0024693,a0,a0
ISIC_0024694,a0,a0
ISIC_0024705,a0,a0
ISIC_0024706,a0,a0
ISIC_0024717,a1,a0
ISIC_0024726,a1,a0
ISIC_0024729,a1,a2
ISIC_0024739,a0,a3
ISIC_0024744,a0,a0
ISIC_0024762,a1,a1
ISIC_0024765,a0,a0
ISIC_0024768,a0,a0
ISIC_0024769,a0,a0
ISIC_0024773,a0,a0
ISIC_0024775,a0,a0
ISIC_0024783,a0,a0
ISIC_0024784,a1,a0
ISIC_0024786,a0,a0
ISIC_0024794,a0,a0
ISIC_0024799,a0,a2
ISIC_0024809,a0,a0
ISIC_0024821,a0,a0
ISIC_0024828,a0,a0
ISIC_0024829,a0,a2
ISIC_0024833,a1,a2
ISIC_0024839,a0,a0
ISIC_0024846,a0,a0
ISIC_0024849,a0,a0
ISIC_0024852,a1,a0
ISIC_0024873,a0,a0
ISIC_0024878,a0,a0
ISIC_0024882,a2,a0
ISIC_0024891,a0,a1
ISIC_0024892,a0,a0
ISIC_0024900,a3,a2
ISIC_0024905,a3,a0
ISIC_0024912,a0,a0
ISIC_0024921,a0,a0
ISIC_0024928,a0,a0
ISIC_0024944,a0,a0
ISIC_0024945,a0,a0
ISIC_0024957,a0,a0
ISIC_0024970,a0,a1
ISIC_0024986,a3,a0
ISIC_0024990,a1,a0
ISIC_0025003,a0,a0
ISIC_0025017,a0,a0
ISIC_0025023,a1,a0
ISIC_0025026,a0,a0
ISIC_0025028,a0,a0
ISIC_0025030,a0,a2
ISIC_0025039,a0,a0
ISIC_0025049,a1,a0
ISIC_0025050,a1,a0
ISIC_0025060,a0,a0
ISIC_0025080,a1,a0
ISIC_0025085,a0,a0
ISIC_0025088,a3,a0
ISIC_0025101,a0,a0
ISIC_0025162,a0,a0
ISIC_0025166,a1,a0
ISIC_0025175,a0,a0
ISIC_0025182,a1,a2
ISIC_0025186,a0,a0
ISIC_0025193,a0,a0
ISIC_0025196,a0,a2
ISIC_0025202,a0,a0
ISIC_0025204,a1,a0
ISIC_0025212,a2,a0
ISIC_0025214,a0,a2
ISIC_0025219,a1,a3
ISIC_0025228,a3,a2
ISIC_0025233,a0,a0
ISIC_0025241,a0,a0
ISIC_0025248,a3,a2
ISIC_0025259,a1,a0
ISIC_0025260,a0,a1
ISIC_0025267,a0,a0
ISIC_0025274,a1,a0
ISIC_0025280,a0,a0
ISIC_0025282,a0,a0
ISIC_0025286,a1,a1
ISIC_0025292,a0,a1
ISIC_0025293,a1,a0
ISIC_0025303,a1,a2
ISIC_0025306,a0,a0
ISIC_0025310,a1,a0
ISIC_0025320,a0,a0
ISIC_0025347,a3,a0
ISIC_0025349,a0,a0
ISIC_0025362,a0,a2
ISIC_0025363,a1,a1
ISIC_0025377,a0,a0
ISIC_0025379,a0,a0
ISIC_0025380,a0,a0
ISIC_0025385,a0,a0
ISIC_0025390,a0,a0
ISIC_0025411,a3,a2
ISIC_0025419,a0,a0
ISIC_0025422,a1,a0
ISIC_0025426,a0,a0
ISIC_0025429,a0,a0
ISIC_0025430,a3,a0
ISIC_0025447,a0,a0
ISIC_0025460,a1,a0
ISIC_0025470,a3,a1
ISIC_0025479,a2,a0
ISIC_0025495,a0,a0
ISIC_0025519,a1,a1
ISIC_0025525,a0,a0
ISIC_0025528,a0,a0
ISIC_0025545,a0,a0
ISIC_0025551,a0,a0
ISIC_0025555,a0,a0
ISIC_0025557,a1,a2
ISIC_0025564,a0,a3
ISIC_0025565,a0,a0
ISIC_0025568,a0,a0
ISIC_0025583,a1,a1
ISIC_0025587,a0,a0
ISIC_0025592,a0,a0
ISIC_0025594,a1,a0
ISIC_0025596,a0,a0
ISIC_0025603,a0,a1
ISIC_0025605,a0,a2
ISIC_0025612,a0,a0
ISIC_0025614,a0,a0
ISIC_0025626,a1,a0
ISIC_0025628,a0,a0
ISIC_0025636,a0,a0
ISIC_0025652,a1,a0
ISIC_0025653,a0,a0
ISIC_0025657,a0,a0
ISIC_0025658,a1,a0
ISIC_0025659,a0,a3
ISIC_0025662,a0,a0
ISIC_0025664,a0,a0
ISIC_0025680,a0,a0
ISIC_0025695,a3,a2
ISIC_0025697,a0,a0
ISIC_0025701,a0,a0
ISIC_0025702,a0,a0
ISIC_0025703,a0,a1
ISIC_0025720,a0,a0
ISIC_0025724,a3,a0
ISIC_0025725,a0,a0
ISIC_0025726,a1,a0
ISIC_0025727,a0,a0
ISIC_0025737,a1,a0
ISIC_0025751,a0,a0
ISIC_0025757,a0,a0
ISIC_0025758,a0,a0
ISIC_0025762,a0,a0
ISIC_0025769,a1,a0
ISIC_0025770,a0,a0
ISIC_0025780,a0,a2
ISIC_0025786,a0,a1
ISIC_0025797,a0,a0
ISIC_0025798,a1,a0
ISIC_0025801,a1,a0
ISIC_0025852,a3,a0
ISIC_0025856,a0,a0
ISIC_0025862,a0,a0
ISIC_0025871,a0,a0
ISIC_0025877,a1,a0
ISIC_0025882,a1,a0
ISIC_0025884,a1,a0
ISIC_0025896,a0,a0
ISIC_0025923,a0,a0
ISIC_0025927,a1,a3
ISIC_0025931,a1,a0
ISIC_0025942,a1,a3
ISIC_0025943,a0,a0
ISIC_0025957,a0,a2
ISIC_0025960,a0,a0
ISIC_0025976,a3,a0
ISIC_0025979,a0,a0
ISIC_0025992,a0,a1
ISIC_0026022,a0,a0
ISIC_0026023,a0,a0
ISIC_0026038,a1,a0
ISIC_0026043,a0,a1
ISIC_0026048,a0,a0
ISIC_0026052,a0,a1
ISIC_0026057,a0,a0
ISIC_0026058,a1,a0
ISIC_0026070,a0,a0
ISIC_0026088,a0,a0
ISIC_0026093,a1,a0
ISIC_0026094,a0,a1
ISIC_0026096,a0,a0
ISIC_0026100,a1,a2
ISIC_0026110,a0,a0
ISIC_0026111,a0,a0
ISIC_0026148,a0,a0
ISIC_0026149,a1,a1
ISIC_0026189,a0,a0
ISIC_0026203,a1,a0
ISIC_0026211,a1,a0
ISIC_0026224,a0,a0
ISIC_0026244,a1,a0
ISIC_0026248,a0,a0
ISIC_0026254,a0,a0
ISIC_0026265,a1,a1
ISIC_0026267,a1,a0
ISIC_0026273,a0,a0
ISIC_0026280,a0,a1
ISIC_0026283,a0,a0
ISIC_0026285,a2,a0
ISIC_0026293,a1,a0
ISIC_0026294,a1,a0
ISIC_0026298,a0,a1
ISIC_0026309,a0,a0
ISIC_0026329,a0,a0
ISIC_0026332,a0,a0
ISIC_0026333,a3,a0
ISIC_0026342,a1,a0
ISIC_0026345,a2,a0
ISIC_0026352,a1,a0
ISIC_0026356,a0,a0
ISIC_0026358,a0,a0
ISIC_0026370,a0,a0
ISIC_0026376,a0,a0
ISIC_0026378,a0,a1
ISIC_0026387,a0,a0
ISIC_0026413,a0,a0
ISIC_0026416,a1,a0
ISIC_0026427,a0,a2
ISIC_0026434,a0,a0
ISIC_0026440,a0,a0
ISIC_0026451,a1,a0
ISIC_0026453,a0,a1
ISIC_0026454,a0,a0
ISIC_0026455,a1,a2
ISIC_0026457,a0,a2
ISIC_0026458,a0,a3
ISIC_0026463,a0,a0
ISIC_0026466,a1,a1
ISIC_0026467,a0,a0
ISIC_0026469,a0,a0
ISIC_0026474,a1,a0
ISIC_0026477,a3,a0
ISIC_0026486,a0,a0
ISIC_0026495,a0,a0
ISIC_0026508,a0,a0
ISIC_0026516,a1,a0
ISIC_0026525,a1,a1
ISIC_0026526,a0,a1
ISIC_0026534,a1,a0
ISIC_0026541,a0,a0
ISIC_0026552,a0,a0
ISIC_0026561,a2,a0
ISIC_0026568,a0,a0
ISIC_0026575,a1,a1
ISIC_0026576,a0,a1
ISIC_0026580,a0,a0
ISIC_0026588,a0,a0
ISIC_0026590,a0,a0
ISIC_0026592,a1,a0
ISIC_0026602,a0,a0
ISIC_0026608,a0,a0
ISIC_0026618,a0,a0
ISIC_0026623,a1,a1
ISIC_0026627,a0,a0
ISIC_0026641,a0,a0
ISIC_0026647,a3,a3
ISIC_0026653,a0,a0
ISIC_0026663,a1,a1
ISIC_0026666,a0,a0
ISIC_0026670,a0,a0
ISIC_0026678,a3,a0
ISIC_0026688,a0,a0
ISIC_0026696,a0,a0
ISIC_0026697,a0,a1
ISIC_0026724,a1,a0
ISIC_0026728,a1,a1
ISIC_0026729,a0,a2
ISIC_0026732,a0,a0
ISIC_0026737,a0,a0
ISIC_0026752,a1,a0
ISIC_0026754,a1,a2
ISIC_0026755,a0,a0
ISIC_0026766,a0,a1
ISIC_0026771,a3,a0
ISIC_0026774,a0,a0
ISIC_0026781,a0,a0
ISIC_0026786,a0,a1
ISIC_0026791,a0,a0
ISIC_0026801,a2,a0
ISIC_0026803,a0,a0
ISIC_0026810,a1,a0
ISIC_0026825,a0,a2
ISIC_0026827,a0,a0
ISIC_0026828,a0,a0
ISIC_0026831,a0,a2
ISIC_0026837,a0,a0
ISIC_0026844,a1,a1
ISIC_0026847,a0,a2
ISIC_0026858,a0,a0
ISIC_0026862,a1,a0
ISIC_0026863,a0,a0
ISIC_0026868,a0,a1
ISIC_0026875,a0,a0
ISIC_0026883,a0,a1
ISIC_0026887,a1,a0
ISIC_0026893,a1,a2
ISIC_0026898,a1,a0
ISIC_0026900,a3,a0
ISIC_0026904,a3,a0
ISIC_0026912,a0,a2
ISIC_0026916,a0,a2
ISIC_0026917,a1,a0
ISIC_0026919,a1,a0
ISIC_0026922,a0,a0
ISIC_0026923,a0,a1
ISIC_0026925,a0,a0
ISIC_0026947,a0,a1
ISIC_0026948,a0,a0
ISIC_0026956,a0,a1
ISIC_0026962,a0,a0
ISIC_0026976,a1,a2
ISIC_0026980,a1,a0
ISIC_0026984,a0,a1
ISIC_0026988,a0,a2
ISIC_0026989,a0,a0
ISIC_0026994,a0,a0
ISIC_0026998,a0,a0
ISIC_0027003,a0,a0
ISIC_0027005,a1,a2
ISIC_0027008,a0,a2
ISIC_0027021,a0,a3
ISIC_0027023,a1,a1
ISIC_0027024,a0,a0
ISIC_0027033,a0,a0
ISIC_0027034,a0,a0
ISIC_0027047,a0,a1
ISIC_0027050,a1,a0
ISIC_0027053,a0,a0
ISIC_0027060,a0,a1
ISIC_0027079,a0,a0
ISIC_0027088,a0,a0
ISIC_0027091,a0,a1
ISIC_0027093,a0,a2
ISIC_0027095,a0,a0
ISIC_0027097,a0,a2
ISIC_0027099,a3,a1
ISIC_0027100,a1,a0
